image_path,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
dataset/test_set\bus\300.jpg,0.8615513167503731,0.038610038608926124,0.0,0.0,0.08548954071095806,0.01434910390092926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\301.jpg,0.8981300648551388,0.026623566120577737,0.0,0.0,0.06496509304633387,0.010281275955501351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\302.jpg,0.8887488073841915,0.04436418154407918,0.0,0.0,0.05271228022172849,0.01417473081592699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\303.jpg,0.8806868518192535,0.03660951586751239,0.0,0.0,0.06983167439497025,0.012871957892207204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\304.jpg,0.9428165479399414,0.0183599660475632,0.0,0.0,0.03400745469915475,0.004816031294888438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\305.jpg,0.8816989737463037,0.03420752565456076,0.0,0.0,0.07269099201594162,0.011402508551520255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\306.jpg,0.9259700624640032,0.023397761952524406,0.0,0.0,0.04112774305940626,0.009504432495000598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\307.jpg,0.7964171853046593,0.06695005312988082,0.0,0.0,0.10232275693773168,0.03431000455182101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\308.jpg,0.8623180926527568,0.05504524030498348,0.0,0.0,0.06767124229993907,0.014965424707917382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\309.jpg,0.9357593006518446,0.02193535271352032,0.0,0.0,0.037344988818106425,0.004960357796199221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\358.jpg,0.9106774364450599,0.027504274511305223,0.0,0.0,0.04961381993839945,0.012204469075756015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\359.jpg,0.9027176633129371,0.029561581720414523,0.0,0.0,0.05653210846931861,0.011188646467885975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\360.jpg,0.8022679874346801,0.05572210635716097,0.0,0.0,0.10681699686477991,0.035192909278206924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\361.jpg,0.9197231303402196,0.02436657131118802,0.0,0.0,0.04801798120024474,0.007892317122806183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\362.jpg,0.8905083923568579,0.033246221407084456,0.0,0.0,0.06549559500860803,0.010749791200507858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\370.jpg,0.84930199678921,0.03732108146183703,0.0,0.0,0.09832125816934718,0.015055663544263805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\371.jpg,0.9292399696698703,0.023183894156446557,0.0,0.0,0.040879021851826264,0.006697114301376347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\372.jpg,0.8955028866333788,0.0309024612570373,0.0,0.0,0.059677909448201824,0.013916742630996149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\373.jpg,0.9358278646951071,0.022211004542692852,0.0,0.0,0.035735318861775715,0.006225811879391178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\374.jpg,0.8591336961001936,0.04184438887917913,0.0,0.0,0.08453449036312198,0.014487424620735129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\382.jpg,0.9279121754514528,0.024169451760160922,0.0,0.0,0.04006108762444255,0.007857285141810555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\383.jpg,0.9095852573946059,0.028915454661908615,0.0,0.0,0.04734366233449814,0.01415562556582989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\384.jpg,0.9151443892943952,0.023658627512154553,0.0,0.0,0.049726133461910293,0.011470849702862813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\385.jpg,0.9396957270252668,0.021107383145672766,0.0,0.0,0.03365819885971032,0.0055386909515979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\386.jpg,0.9183999999780681,0.029301492536613696,0.0,0.0,0.042913432834796095,0.00938507462664155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\394.jpg,0.8306341240402239,0.062100821164341874,0.0,0.0,0.08377052919230323,0.023494525546105465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\395.jpg,0.8053082384308966,0.03319057815658793,0.0,0.0,0.1412712723914532,0.020229910964711488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\396.jpg,0.8205418672321089,0.060889266493869096,0.0,0.0,0.09345794392082234,0.025110922305998727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\397.jpg,0.839555721446726,0.06071495239589719,0.0,0.0,0.07471532573853298,0.025014000372175937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\bus\398.jpg,0.881706826129113,0.028178733681402647,0.0,0.0,0.07754902524361525,0.012565414917115263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\dinosaurs\400.jpg,0.9909157993716009,0.005305478510836084,0.0,0.0,0.002849945291192525,0.0009287768136475639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\dinosaurs\401.jpg,0.983609729118524,0.006288004422245882,0.0,0.0,0.008609729131998207,0.0014925373134122093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\dinosaurs\402.jpg,0.9720648592263706,0.00647436267983013,0.0,0.0,0.019451991444311062,0.0020087866350365804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\dinosaurs\403.jpg,0.9938569004471848,0.0019197186063843684,0.0,0.0,0.003183017302198598,0.0010403636318470125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\dinosaurs\404.jpg,0.9928371557350574,0.0026375333038433342,0.0,0.0,0.0032266270366814393,0.001298683911029459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset/test_set\dinosaurs\405.jpg,0.9902949571701741,0.005831181187904973,0.0,0.0,0.0027456843821836935,0.001128177246144785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
